product_id,productName,cost,productURL
1000001,Tandul Organic Cotton Fit & Flare Midi Dress,600,https://www.myntra.com/dresses/tandul/tandul-organic-cotton-fit--flare-midi-dress/29633040/buy
1000002,Organic Cotton Women Woven Dress,2200,https://www.good-stitch.com/products/organic-cotton-women-woven-dress
1000003,Brooklyn Organic Cotton Dress,1000,https://www.mystore.in/en/product/brooklyn-organic-cotton-dress?Color=Tan&Size=S
1000004,Vero Moda Green Animal Print Mini Shift Dress,1125,https://www.tatacliq.com/vero-moda-green-animal-print-mini-shift-dress/p-mp000000014655446
1000005,Zink London Round Neck A-Line Dress,1200,https://www.ajio.com/zink-london-round-neck-a-line-dress-/p/465489845_green
1000006,FableStreet Women's Polyester Belted Skater Dress,1888,https://www.amazon.in/FableStreet-Womens-Polyester-Belted-Skater/dp/B09CPNBJPR
1000007,Comfy Shirt Dress with Tie-Up Waist,2390,https://thekain.in/products/comfy-shirt-dress-with-tie-up-waist
1000008,Pesto Blossomy Hemp Dress,1379,https://revosaa.com/products/pesto-blossomy-hemp-dress
1000009,Foxxy Uniform Hemp Dress,3800,https://hempistani.com/product/foxxy-uniform-hemp-dress/
1000010,Hemp Cotton One Piece Dress,900,https://www.raworiya.com/one-piece-dress/hemp-cotton-one-piece-dress/
1000011,Ewoke Off-White Floral Hemp Fit & Flare Dress,7990,https://www.myntra.com/dresses/ewoke/ewoke-off-white-floral-hemp-fit--flare-dress/15792286/buy
1000012,Buda Jeans Co. Tencel Overdye Shirt Dress,475,https://www.ajio.com/buda-jeans-co-tencel-overdye-shirt-dress/p/469218624_black
1000013,Tencel™ Denim V-Neck Midi Wrap Dress,990,https://www.marksandspencer.in/tencel%E2%84%A2-denim-v-neck-midi-wrap-dress/p/000000060556193008.html
1000014,Bluestone Sleeveless Dress Plain Tencel,2840,https://bokitta.in/products/bluestone-sleeveless-dress-plain-tencil
1000015,Virgio Square Neck Sleeveless Tencel A-Line Dress,970,https://www.myntra.com/dresses/virgio/virgio-square-neck-sleeveless-tencel-a-line-dress/25968350/buy
1000016,Pure Tencel Plain V-Neck Dress,1590,https://www.marksandspencer.in/pure-tencel-plain-v-neck-dress/p/000000060527628011.html
1000017,Bamboo Fabric Printed Dress,8250,https://ecoclothingindia.com/products/bamboo-fabric-printed-dress
1000018,Block Hop Olive Maternity Kaftan Dress,2672,https://duckduckbaby.in/products/block-hop-olive-maternity-kaftan-dress-solid-color-organic-bamboo-cotton-v-neck-half-sleeves-bump-friendly
1000019,Women's Cotton Bamboo Elastane Casual Wear Regular Fit Kdress,845,https://cottonworld.net/products/l-kdress-16566-21018-red
1000020,Inner Sense Organic Vertical Pregnancy Dress,1286,https://www.amazon.in/Inner-Sense-Organic-Vertical-Pregnancy/dp/B0DBVLNQ8R
1000021,Men's Bamboo Polo T-Shirt,1100,https://woodwose.in/product/mens-bamboo-polo-t-shirt/
1000022,Bamboo Fabric Black T-Shirt for Men,1299,https://brownliving.in/products/bamboo-fabric-black-t-shirt-for-men
1000023,Bamboo Fabric Maroon T-Shirt for Men,1299,https://brownliving.in/products/bamboo-fabric-maroon-t-shirt-for-men
1000024,Bamboo Fabric Navy T-Shirt for Men,1299,https://brownliving.in/products/bamboo-fabric-navy-t-shirt-for-men
1000025,Men's Hemp T-Shirt,999,https://www.weorg.in/collections/mens-t-shirts
1000026,Men’s Organic Cotton Tee- Charcoal Melange T-shirt,569,https://woodwose.in/product/mens-organic-cotton-charcoal-melange-t-shirt/
1000027,Rare Red Ombre Organic Cotton T-Shirt,999,https://brownliving.in/products/rare-red-ombre-organic-cotton-t-shirt
1000028,Full Sleeve Men's Organic Crew Neck T-Shirt,999,https://brownliving.in/products/full-sleeve-mens-organic-crew-neck-earthy-brown?_pos=3&_fid=ebaffc44d&_ss=c
1000029,I Ride - Organic Cotton and Fair Trade T-shirts,799,https://www.iwearme.in/collections/t-shirts-for-men/products/i-ride
1000030,Men's Organic Cotton T-Shirt,3000,https://www.nonasties.in/collections/men
1000031,Sustainable Vegan T-Shirt,1672,https://www.etsy.com/in-en/listing/123456789/sustainable-vegan-t-shirt
1000032,Men's Organic Cotton Polo T-Shirt,1049,https://brownliving.in/products/mens-organic-cotton-polo-tshirt-red
1000033,Men's Organic Full Sleeve Crew Neck T-Shirt,1049,https://brownliving.in/products/mens-organic-full-sleeve-crew-neck-tshirt-mustard-yellow
1000034,Men's Henley Tee - Supima Cotton - Aqua Teal,1600,https://brownliving.in/products/mens-henley-tee-supima-cotton-aqua-teal
1000035,Men's Henley Tee - Supima Cotton - Solid Black,1600,https://brownliving.in/products/mens-henley-tee-supima-cotton-solid-black
1000036,OG Cotton T-Shirt - Avo,1189,https://brownliving.in/products/og-cotton-t-shirt-avo
1000037,Men's Sustainable Polo T-Shirt,1049,https://brownliving.in/products/mens-sustainable-polo-tshirt-blue
1000038,OG Cotton T-Shirt - Ash,1200,https://brownliving.in/products/og-cotton-t-shirt-ash
1000039,OG Cotton T-Shirt - Sky,1200,https://brownliving.in/products/og-cotton-t-shirt-sky
1000040,OG Cotton T-Shirt - Coal,1200,https://brownliving.in/products/og-cotton-t-shirt-coal
1000041,Patchy Boho Denim Jacket,1799,https://bunkojunko.com/products/patchy-boho-denim-jacket?variant=39614905614400&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqEAb9E2yPC2bbQ-ne3nEPWbVYJ5srrLakD0C7ej2fZWs1wgi56XUs
1000042,Bamboo Crop Hoodie Jacket,4750,https://unmoda.com/products/bamboo-crop-hoodie-jacket?variant=43696809935021&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopULj7Hw0wHPKfjtP9vDuXplE0YTCyhOH8-fG5fWbn2OGVUfcyGJcM&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e
1000043,Ecoprinted Handwoven Breezy Jacket Multi,4999,https://flourish.shop/products/ecoprinted-handwoven-breezy-jacket-multi?variant=43879956644081&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopriza2YY3RbiKt6fvwrBGP_88uDNsSFN93yJBWwnN-AAmQtiRBUFk&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e
1000044,Printed Hemp Jacket,1900,https://furrl.in/outerwear/printed-hemp-jacket
1000045,Crossroad Over Jacket White,1690,https://brownliving.in/products/crossroad-over-jacket-white?variant=31132220883024&country=IN&currency=INR&srsltid=AfmBOooIbC40XSbrpgCCbzyHOVARqqXXrAU9rgUxLZ7dvnXTJo1TrKFaStg
1000046,Hemp Blend Stretch Tailoured jacket,6999,https://luxe.ajio.com/muji-hemp-blend-stretch-tailored-jacket/p/410479748_beige#gmf
1000047,Thickened Zipper Hooded Coat Coat Coat Autumn and Winter New Cotton and Hemp Coat Women's Vintage Warm Printing Pocket,1199,https://amaioofficial.com/products/thickened-zipper-hooded-coat-coat-coat-autumn-and-winter-new-cotton-and-hemp-coat-womens-vintage-warm-printing-pocket?variant=47694332199256&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorZcVdQRaYsVyL69qfguQGjDa-88igqX44IRGAl-gWxWwvSNk4s8xY&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e
1000048,Saltpetre timeless oragne jacket in organic cotton,3990,https://www.tatacliq.com/saltpetre-timeless-oragne-jacket-in-organic-cotton/p-mp000000019520817
1000049,Lemon Yellow Organic Cotton Long Fancy Embroidered Ethnic Jacket Free Size,1414,https://www.mirraw.com/designers/mesmora/designs/lemon-yellow-organic-cotton-long-fancy-embroidered-ethnic-jacket-free-size-women-jacket?country_code=IN&srsltid=AfmBOorelejuBCVam12Yl2T5ftJXmwYyoBaGL9yeS3FNEl-DnCUsuqFyXkk
1000050,Coral Organic Cotton Cropped Summer Jacket,3899,https://www.nykaafashion.com/primal-gray-coral-organic-cotton-cropped-summer-jacket/p/12239378?adsource=shopping_india&skuId=12239378&srsltid=AfmBOopO9WXjxjbgq-BTycIx86UhRk8ePYYNNwh6Pl_g2O_sUhGsw7C6o3M
